danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,target
0.586,0.546,9,-8.547,0,0.0265,0.454,0.0,0.0935,0.262,140.824,250387,4,41.72215,11,0
0.607,0.205,0,-14.275,0,0.0378,0.141,0.909,0.0635,0.569,116.09,162907,1,27.11763,9,0
0.41,0.885,2,-7.042,1,0.0351,0.000104,0.807,0.307,0.618,100.047,290800,4,24.78784,11,0
0.488,0.0872,9,-16.779,0,0.0388,0.959,0.921,0.109,0.306,117.348,516400,3,32.97797,24,0
0.378,0.762,4,-12.571,1,0.0844,0.426,0.238,0.121,0.372,139.802,145773,4,29.85589,9,0
0.798,0.668,10,-4.824,1,0.091,0.0571,0.00987,0.204,0.438,168.039,213733,4,34.91878,14,1
0.878,0.651,11,-8.074,0,0.252,0.0178,0.0,0.0408,0.102,92.028,251667,4,26.24362,6,1
0.698,0.41,5,-11.606,0,0.0284,0.577,0.838,0.221,0.682,98.339,254200,4,32.19843,14,0
0.547,0.569,10,-8.644,1,0.0271,0.189,7.05e-06,0.156,0.432,159.713,304867,4,38.744,13,1
0.419,0.926,6,-6.625,0,0.0715,8.1e-06,0.00145,0.0617,0.434,95.26,193933,4,23.2959,9,0
0.564,0.745,0,-6.933,1,0.0411,0.262,2.78e-05,0.108,0.672,94.044,488734,4,28.32058,20,1
0.594,0.833,3,-5.543,1,0.0358,0.0848,7.8e-05,0.311,0.663,142.035,218667,4,32.55626,9,1
0.187,0.264,0,-15.162,1,0.035,0.73,0.752,0.104,0.0977,145.012,507560,4,40.16228,22,0
0.586,0.872,7,-5.066,1,0.0483,0.018,0.0,0.622,0.729,159.925,221333,4,25.0524,8,1
